order_id,payment_sequential,payment_type,payment_installments,payment_value
25d9d697-9b9b-4059-8df9-73a44a0bd18d,1,upi,1,7358.09
164026a5-5e04-4a6e-a2dd-b8a402f3ac88,1,upi,1,9046.06
82f26b64-0416-4bef-a130-94344f03b332,1,voucher,4,5723.24
82f26b64-0416-4bef-a130-94344f03b332,2,voucher,5,1415.58
c2a4dc99-2afc-4833-923b-d110ec6b60d2,1,upi,4,7520.76
c2a4dc99-2afc-4833-923b-d110ec6b60d2,2,upi,5,4923.96
24ccdbe8-f999-416d-a87e-168599a9c48e,1,voucher,6,1241.12
24ccdbe8-f999-416d-a87e-168599a9c48e,2,voucher,6,4279.75
f9214e8c-a778-4def-ba41-48fee7c63fb0,1,debit_card,3,8171.28
37eb3438-297f-4818-ab99-f8512fb8ba5a,1,debit_card,3,12050.39
4556185f-fe2e-4994-aa41-b0617e139761,1,debit_card,5,7283.97
ad06dbde-7652-4a7a-b8d5-ded236fb6dd5,1,credit_card,6,8534.12
9d8476ae-6d5d-4991-9fc2-422551bf0981,1,debit_card,6,10743.17
35599c50-c710-4cbf-90ea-054eb8e98335,1,upi,1,8531.11
8303b13e-63dc-439f-81f9-2424b2077866,1,voucher,5,8483.08
8303b13e-63dc-439f-81f9-2424b2077866,2,debit_card,1,2523.83
c0074c62-5931-44e1-a240-7f8651f127c9,1,upi,6,4551.12
c0074c62-5931-44e1-a240-7f8651f127c9,2,debit_card,6,3000.12
70ba3ee8-53f1-43c5-a160-9c77e4798189,1,upi,4,4203.79
70ba3ee8-53f1-43c5-a160-9c77e4798189,2,debit_card,5,1076.63
652fc565-72ce-43ba-885c-89a5f7fa86e3,1,voucher,5,13115.89
aa7e4bd9-2656-4738-82c5-9c3d8abc4900,1,voucher,5,7525.22
92c29311-08fe-43a4-9d70-1fae18480f09,1,credit_card,2,8511.42
d8d5f6c8-7636-4fdc-8e94-b45f98d1c4ad,1,voucher,5,11942.54
f8c98ad8-5f85-4a01-aab2-8a6a0ba9327f,1,credit_card,3,728.52
f8c98ad8-5f85-4a01-aab2-8a6a0ba9327f,2,voucher,6,8047.65
176d1797-6d29-4ec4-86ba-74cc821463f7,1,credit_card,6,8407.6
04d7fdce-3fa8-4575-a134-7dc1987405f9,1,credit_card,6,10442.08
7da09ba0-905b-4a5b-9ee7-72c89f753c7b,1,debit_card,6,5992.78
7f9ed75d-2c87-4ac7-bbd5-e357c641a5da,1,voucher,4,6234.95
f5dd7acf-dbf1-4da3-9319-d74981c38207,1,upi,4,13364.2
f5dd7acf-dbf1-4da3-9319-d74981c38207,2,upi,6,1452.07
2dc1664c-adc6-4a69-a5b8-92914eb4bdf3,1,debit_card,5,9317.87
07ecc3cc-04f1-4ffe-96bc-d55a42239229,1,debit_card,3,709.99
07ecc3cc-04f1-4ffe-96bc-d55a42239229,2,upi,5,3297.6
52fd4c9b-b840-4eba-b279-a00678d01335,1,voucher,2,4541.76
52fd4c9b-b840-4eba-b279-a00678d01335,2,debit_card,1,1113.48
b4fe0d19-732c-4968-96db-516de34440ad,1,credit_card,6,9254.15
b4fe0d19-732c-4968-96db-516de34440ad,2,debit_card,5,451.48
56ea4728-5afe-4c2b-8ec7-4ac29373c401,1,credit_card,5,12050.17
d3ee5a56-8611-4560-995e-c9b6733e41be,1,voucher,6,9182.52
90945c1d-c4e1-4886-b948-d9a4b0f3b48b,1,upi,2,6884.65
349ec8ed-9eaf-4164-b426-679b5812ac28,1,upi,2,1954.85
349ec8ed-9eaf-4164-b426-679b5812ac28,2,credit_card,6,4463.5
ee6d63d4-532c-4697-bacd-20cea14af855,1,credit_card,3,10093.27
d18eb665-988c-4560-a746-33141cf14ad0,1,credit_card,4,7088.37
af522769-0e9e-46a6-b8fb-5f2735b62870,1,voucher,4,5347.4
af522769-0e9e-46a6-b8fb-5f2735b62870,2,voucher,6,2299.07
73f962dd-7a9f-4106-ae33-84918d3498b0,1,upi,3,11350.34
e21ac59d-870e-4eff-aed0-9d446ec389d3,1,credit_card,3,7285.85
0848f196-c939-42a7-8369-9704bde48614,1,upi,6,9800.18
726589b2-b78b-477e-8114-bd4b27d5c80f,1,debit_card,4,14632.18
2e3feda6-a6a7-44a6-b216-69f943d2f99f,1,upi,3,4264.14
0e586db6-0df3-4add-97e5-ebb94c037ef5,1,upi,2,6615.07
566fd480-4a94-4794-ba13-917d55b22eb3,1,credit_card,3,5920.11
1abbcb7c-782a-4c81-bfbe-f1d1e67928b1,1,credit_card,5,6590.45
970a8d5a-952b-428c-a630-c12fca797562,1,credit_card,5,10581.48
b502392f-566c-4c97-86dc-6b61a2b921b8,1,credit_card,6,9576.39
ca16af39-5363-44a6-bbb8-d4a6a4aa1caf,1,credit_card,2,4540.31
563aeb79-f534-4b94-9425-e88b41645239,1,credit_card,1,11363.84
106d0099-a651-4fe4-a15c-812198c904c3,1,voucher,3,10402.6
03b41a92-f4a3-43d6-9a6e-f35f30bbb768,1,debit_card,1,3771.73
05140b0a-c541-4321-896c-c1b3ab018264,1,upi,6,10282.82
216d000d-6a12-41e6-a685-af39cd360a73,1,voucher,2,4185.02
216d000d-6a12-41e6-a685-af39cd360a73,2,upi,3,3740.72
70b8c8be-a2c7-46b2-851c-02105b49ebe4,1,upi,5,1780.88
ea9c9f35-3343-48dd-8239-29440ac351de,1,upi,4,9704.72
e926d7e2-022c-4d36-8c88-538be861a9a3,1,upi,5,5364.46
