product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
233631c2-199f-4402-aeff-fa89310b938e,home_appliances,56,141,2,4154,76,46,66
877d488e-7de7-48f5-bd1c-ef61a80b3cc9,home_appliances,31,699,4,4328,21,35,54
21f16936-613a-4a41-9210-50af9edeb08a,fashion,41,428,1,1617,52,31,98
530798e8-bdb7-4006-9776-cd5e354f4ea3,fashion,38,778,4,4806,14,34,21
666e825e-80a1-4ca6-83fd-ea71e69d63d6,home_appliances,36,431,1,3611,75,5,94
68ba46f1-df12-4c26-abaa-3ff4eb2af9c8,office,49,523,1,1836,76,28,89
78e23e37-8722-44d7-8ad1-caef7de60178,fashion,60,552,1,1967,44,40,26
60af839c-9587-431f-9305-2df2bf9a0872,home_appliances,48,596,1,536,90,43,40
aa7bdd5e-30dc-40ea-afef-4cb5affb86a1,furniture,39,664,1,4824,62,10,38
148fffaf-dc10-469c-ae00-13878b38b25e,electronics,49,220,2,4382,47,37,100
0375a0e8-2c1f-408f-b947-5df6c6c826f4,home_appliances,46,594,4,2296,68,40,28
b7c73fa5-fa0d-4cb5-b91d-477e7ea67c4b,fashion,32,713,5,1418,18,22,63
e8efc945-e372-4798-a5b6-7cd4532fdca3,home_appliances,52,373,1,2617,48,42,84
4ed96b03-e032-4446-be46-194bf45ac882,fashion,29,557,5,4267,54,26,80
ad99e8e5-0526-4808-bbf6-8e21e92e9f53,office,44,566,3,1845,99,20,83
29853ac9-e9f0-44b7-b707-6570aa86a936,fashion,34,520,1,2906,70,50,58
53615758-16f0-4d0f-8c58-f059fce03ea5,fashion,29,607,1,1334,74,42,52
9a231254-e381-4bec-96b2-e6a1712cb76e,electronics,48,202,5,4043,11,14,62
5e28b14a-9169-4ddf-ba5b-1e5d85e71ec4,furniture,24,580,3,3073,89,49,60
467169c9-7e91-4550-9f3b-3a22235d9a80,electronics,41,790,5,3413,50,45,72
d26b7fe7-c56e-44e0-890b-3391a346e420,office,22,732,1,2223,90,48,46
7d8cea90-baf0-49e1-950d-b14f23518461,furniture,25,544,1,1123,66,15,98
c1945273-2c05-49f8-a86e-92f9dd100f41,home_appliances,21,147,3,759,47,27,57
14e49756-9e85-43c9-939f-3b729b2824be,fashion,29,350,5,3675,82,48,33
76909d69-adbb-485a-8588-6d200f4e8af0,furniture,31,180,5,3433,89,48,40
910af029-ef15-4d85-8a5a-e82b09a85518,fashion,57,246,2,4077,91,21,68
4147b56e-15f4-4ec8-8626-aaafb6e0febf,home_appliances,20,576,3,4777,30,9,66
59377202-6bdc-4e24-9d8c-5d968fe24295,home_appliances,57,406,4,2348,68,24,35
ffb7cd59-6673-44f6-8e01-db39aaac6be5,fashion,50,209,2,3424,83,27,83
3bf2c3ba-acbd-4a75-979f-7467c61c2211,home_appliances,38,122,4,2548,11,41,97
cbcd9297-6f83-4c8b-bcce-98e772493495,electronics,58,608,3,2185,87,27,38
